Carat Weight,Cut,Color,Clarity,Polish,Symmetry,Report,Price
1.04,Ideal,G,VS2,VG,EX,GIA,6955
2.07,Ideal,H,VS2,ID,ID,AGSL,20842
0.76,Ideal,E,VS2,VG,EX,GIA,3864
1.22,Very Good,I,VS2,VG,VG,GIA,5979
2.37,Very Good,H,VS1,VG,VG,GIA,25451
2.47,Ideal,I,VS1,ID,ID,AGSL,24667
1.01,Good,G,SI1,EX,VG,AGSL,5073
2.01,Very Good,H,VS1,G,G,GIA,20940
1.06,Very Good,H,SI1,G,VG,GIA,4878
1.03,Very Good,D,VS1,VG,VG,GIA,8437
1.21,Ideal,D,VVS2,VG,VG,GIA,14691
1.12,Ideal,G,VS1,EX,EX,GIA,8394
0.93,Very Good,G,SI1,VG,EX,GIA,4513
1.72,Very Good,F,VS2,VG,G,GIA,17578
1.51,Very Good,F,VVS2,VG,VG,GIA,16716
2.15,Ideal,G,VS2,EX,EX,GIA,28837
2.01,Very Good,G,VVS2,EX,EX,GIA,27136
0.9,Very Good,D,VS1,VG,G,GIA,5331
1.07,Ideal,F,VS2,VG,VG,GIA,7441
1.02,Very Good,G,VVS2,EX,VG,GIA,7724
0.91,Ideal,F,VS2,VG,VG,GIA,5261
0.83,Signature-Ideal,F,SI1,EX,EX,GIA,4009
0.76,Very Good,D,VVS2,VG,VG,GIA,4125
2.28,Ideal,F,VS2,EX,EX,GIA,35588
0.9,Ideal,H,VVS2,EX,VG,GIA,4770
1.25,Ideal,D,VS1,EX,VG,GIA,10441
1.61,Ideal,I,VS2,EX,VG,GIA,11826
0.9,Very Good,I,SI1,VG,VG,GIA,3327
1.06,Ideal,E,VS2,VG,VG,GIA,7275
2.36,Ideal,I,VS1,VG,VG,GIA,22441
1.25,Ideal,I,SI1,VG,VG,GIA,6206
1.01,Very Good,F,SI1,EX,EX,GIA,5220
2.55,Ideal,I,SI1,EX,EX,GIA,23255
1.0,Ideal,D,SI1,VG,VG,GIA,5639
1.01,Very Good,D,VS2,EX,EX,GIA,7278
1.0,Very Good,E,VS2,G,G,GIA,5978
1.32,Ideal,I,VS1,VG,EX,GIA,7095
1.23,Very Good,F,IF,EX,EX,GIA,14521
1.01,Good,E,SI1,EX,G,GIA,4608
1.05,Ideal,H,SI1,ID,ID,AGSL,5407
1.63,Ideal,H,VVS2,EX,EX,GIA,14233
2.08,Ideal,H,VS1,EX,EX,GIA,25720
1.74,Very Good,F,VS2,VG,VG,GIA,18237
1.15,Very Good,G,SI1,VG,VG,GIA,5587
2.01,Good,D,VS1,VG,G,GIA,35124
1.23,Very Good,D,SI1,VG,G,GIA,7799
1.09,Very Good,H,VS2,G,VG,GIA,5551
1.22,Ideal,G,IF,EX,EX,GIA,11111
0.9,Ideal,H,VS2,EX,EX,GIA,4856
1.26,Ideal,D,VS2,VG,EX,GIA,10597
1.71,Ideal,I,VS2,EX,EX,GIA,12837
2.15,Very Good,E,VS2,VG,VG,GIA,31340
2.33,Very Good,D,IF,G,VG,GIA,67368
1.01,Good,G,VS2,VG,G,GIA,5918
2.02,Very Good,H,SI1,VG,G,GIA,18236
0.75,Very Good,E,SI1,EX,G,GIA,3005
1.12,Ideal,F,VS2,EX,EX,GIA,7267
1.03,Very Good,D,VS1,VG,VG,GIA,8220
1.24,Very Good,I,VS1,VG,VG,AGSL,6104
2.01,Very Good,E,SI1,EX,VG,GIA,21741
1.04,Very Good,I,SI1,VG,VG,GIA,4948
0.83,Ideal,D,SI1,EX,VG,GIA,3371
1.06,Ideal,F,VS1,ID,ID,AGSL,8369
0.9,Very Good,G,VS1,EX,VG,GIA,4872
1.67,Ideal,D,SI1,G,VG,GIA,14154
2.2,Very Good,G,VS2,EX,EX,GIA,29496
2.65,Very Good,E,SI1,VG,EX,GIA,33928
1.1,Very Good,F,VVS1,VG,VG,GIA,10643
2.0,Very Good,F,VS2,VG,VG,GIA,25311
1.01,Very Good,F,SI1,G,VG,GIA,5248
1.63,Good,F,SI1,VG,VG,GIA,13187
1.04,Ideal,E,VVS2,EX,EX,GIA,10019
1.01,Ideal,G,VVS2,EX,EX,GIA,8029
2.05,Very Good,G,VS2,EX,VG,GIA,24082
1.01,Very Good,G,IF,VG,EX,GIA,8957
2.01,Very Good,F,VS2,EX,VG,GIA,26369
1.66,Signature-Ideal,D,SI1,ID,ID,AGSL,17529
0.8,Very Good,E,SI1,EX,VG,GIA,3040
2.19,Very Good,I,SI1,VG,G,GIA,14819
1.21,Very Good,F,VS2,G,VG,GIA,8353
2.01,Good,I,SI1,VG,G,GIA,15371
2.18,Good,F,VS2,G,VG,GIA,30175
2.08,Ideal,I,VS2,VG,VG,GIA,16950
2.04,Ideal,G,SI1,VG,VG,GIA,18663
1.22,Signature-Ideal,D,VS2,ID,ID,AGSL,11704
1.11,Signature-Ideal,I,SI1,ID,ID,AGSL,6090
1.5,Ideal,D,VVS1,EX,EX,GIA,25406
1.09,Good,G,SI1,VG,VG,GIA,5672
1.0,Very Good,D,VS2,VG,EX,GIA,7361
0.8,Ideal,E,VS1,VG,EX,GIA,4086
1.01,Very Good,E,VS2,VG,G,GIA,6480
2.13,Ideal,G,VVS1,EX,EX,GIA,36372
0.9,Very Good,G,SI1,EX,VG,GIA,3752
1.0,Very Good,E,SI1,VG,VG,GIA,5571
1.04,Ideal,H,SI1,EX,EX,GIA,6458
2.01,Ideal,F,VS2,VG,VG,GIA,27241
1.35,Ideal,H,SI1,VG,G,GIA,7780
1.61,Very Good,G,SI1,VG,G,GIA,12028
2.1,Very Good,D,SI1,VG,VG,GIA,19644
0.91,Ideal,I,VVS2,ID,ID,AGSL,4663
0.9,Very Good,E,SI1,VG,VG,GIA,4324
1.21,Good,E,SI1,VG,VG,GIA,6861
1.53,Very Good,I,SI1,EX,EX,GIA,7971
1.01,Very Good,G,VVS2,G,G,GIA,7226
2.09,Ideal,D,VS1,EX,EX,GIA,38627
1.45,Very Good,I,IF,EX,VG,GIA,9683
2.48,Very Good,F,VVS1,VG,VG,GIA,50585
1.52,Very Good,G,SI1,EX,VG,GIA,11014
2.17,Very Good,I,SI1,EX,VG,GIA,15760
2.16,Ideal,G,VS2,EX,EX,GIA,27874
1.01,Very Good,G,VS2,EX,VG,GIA,5944
1.51,Very Good,G,SI1,EX,VG,GIA,10947
1.5,Very Good,H,VS1,EX,EX,GIA,12152
1.02,Very Good,G,SI1,VG,VG,GIA,4624
1.0,Good,G,SI1,VG,VG,GIA,4661
1.12,Ideal,D,SI1,G,G,GIA,7153
2.05,Ideal,G,IF,VG,G,GIA,34736
0.9,Very Good,G,VS2,G,VG,GIA,4276
1.17,Ideal,F,VVS1,ID,ID,AGSL,11029
0.95,Very Good,D,SI1,G,G,GIA,5101
2.15,Very Good,I,VS2,VG,VG,GIA,17774
1.27,Ideal,G,VS2,EX,EX,GIA,9489
1.32,Very Good,H,VVS2,VG,VG,GIA,9513
1.01,Ideal,D,IF,EX,VG,GIA,17458
2.26,Ideal,F,VS1,EX,G,GIA,35200
1.2,Ideal,G,VS1,EX,EX,GIA,9625
1.53,Ideal,F,SI1,ID,ID,AGSL,12616
0.85,Ideal,G,SI1,VG,EX,GIA,3403
1.06,Ideal,G,VS2,VG,EX,GIA,6570
1.14,Signature-Ideal,G,VS1,ID,ID,AGSL,9090
1.14,Ideal,E,VS1,VG,VG,GIA,8845
1.0,Very Good,E,SI1,VG,VG,GIA,5051
2.64,Very Good,D,IF,VG,EX,GIA,93813
0.9,Ideal,H,VS1,VG,EX,AGSL,4634
0.91,Good,D,SI1,VG,G,GIA,4265
1.05,Very Good,H,SI1,VG,VG,GIA,5406
0.8,Very Good,G,SI1,G,VG,GIA,2885
1.2,Ideal,I,VS2,G,VG,GIA,5514
1.5,Very Good,I,VS2,G,G,GIA,8827
1.0,Good,H,SI1,VG,VG,GIA,4574
0.76,Ideal,H,VVS1,EX,VG,GIA,3363
1.02,Very Good,G,VVS2,EX,G,GIA,7292
2.03,Ideal,H,VS1,VG,VG,GIA,24768
0.77,Very Good,G,SI1,VG,VG,GIA,2915
2.01,Good,I,VS2,EX,EX,AGSL,15290
1.04,Very Good,D,IF,G,G,GIA,14206
1.51,Very Good,I,VS2,VG,VG,GIA,9058
2.01,Ideal,H,VS2,EX,EX,GIA,21254
1.07,Ideal,G,VVS2,ID,ID,AGSL,8145
1.3,Very Good,I,VS1,EX,VG,GIA,6819
2.02,Very Good,G,VS1,VG,EX,GIA,25190
0.92,Very Good,G,VVS2,VG,G,GIA,5183
1.29,Very Good,G,VS1,G,VG,GIA,9105
2.15,Very Good,H,VVS2,EX,EX,GIA,26580
0.91,Ideal,I,VS1,EX,EX,GIA,3954
2.26,Very Good,I,SI1,VG,EX,GIA,17845
2.33,Ideal,G,SI1,VG,VG,GIA,24894
2.08,Very Good,H,VS2,EX,VG,GIA,20265
1.31,Signature-Ideal,G,VVS2,ID,ID,AGSL,13168
1.26,Ideal,I,VVS1,EX,VG,GIA,7578
1.01,Good,F,VS2,EX,VG,GIA,6288
1.0,Good,E,VS2,VG,VG,GIA,6315
2.07,Ideal,I,VS2,EX,EX,GIA,17045
2.17,Ideal,G,SI1,VG,EX,GIA,20823
0.9,Very Good,E,VVS2,G,VG,GIA,5987
0.9,Very Good,G,VS2,G,G,GIA,4369
1.05,Ideal,I,SI1,VG,VG,GIA,4494
0.91,Ideal,D,VS2,EX,EX,GIA,6444
1.01,Very Good,F,SI1,VG,VG,GIA,5436
1.55,Ideal,F,VS1,EX,EX,GIA,17317
1.28,Ideal,G,IF,EX,VG,GIA,11372
1.21,Signature-Ideal,G,VS1,ID,ID,AGSL,10685
1.03,Signature-Ideal,E,VVS2,EX,EX,GIA,11611
1.01,Good,F,VVS2,VG,VG,GIA,7915
1.72,Ideal,G,VVS2,EX,EX,GIA,19693
1.51,Very Good,F,VS1,VG,VG,GIA,14976
1.7,Fair,H,VS2,VG,EX,GIA,11038
1.01,Good,G,SI1,EX,EX,GIA,5277
2.28,Ideal,I,VVS2,EX,VG,GIA,25098
2.0,Good,H,SI1,G,G,GIA,17447
1.27,Ideal,H,VS2,ID,ID,AGSL,7937
2.51,Very Good,I,VVS2,EX,G,GIA,28847
2.18,Ideal,G,VS1,EX,EX,GIA,29641
2.0,Good,D,VS1,G,G,GIA,30014
0.93,Ideal,H,SI1,ID,ID,AGSL,4317
2.02,Very Good,H,VS2,G,G,GIA,19184
0.9,Very Good,H,VS1,EX,G,GIA,4685
1.11,Very Good,G,SI1,VG,VG,GIA,5367
0.76,Very Good,F,VS2,G,G,AGSL,2873
1.5,Very Good,E,VS2,VG,VG,GIA,14061
1.3,Very Good,G,VS1,EX,EX,GIA,10654
0.91,Ideal,I,VS1,VG,VG,GIA,4022
1.07,Signature-Ideal,G,SI1,ID,ID,AGSL,6582
1.0,Ideal,H,VS2,EX,VG,GIA,6133
0.9,Ideal,E,SI1,EX,EX,GIA,5373
2.01,Ideal,I,SI1,EX,EX,GIA,16562
0.76,Signature-Ideal,I,VS2,ID,ID,AGSL,2793
2.05,Very Good,G,SI1,EX,EX,GIA,19928
1.03,Ideal,F,VVS2,EX,VG,GIA,9254
0.9,Good,H,SI1,VG,VG,GIA,3186
1.03,Very Good,G,SI1,EX,EX,GIA,5168
2.01,Good,H,VS2,VG,G,GIA,19591
2.03,Ideal,E,VS2,EX,EX,GIA,30802
1.12,Ideal,H,VVS2,VG,VG,GIA,7325
2.02,Very Good,H,SI1,EX,EX,GIA,18097
1.53,Very Good,F,VVS2,EX,EX,GIA,19140
0.83,Ideal,F,VS1,EX,VG,GIA,4617
1.55,Very Good,I,VS1,EX,VG,GIA,10711
2.01,Very Good,G,SI1,VG,VG,GIA,18576
0.76,Good,D,SI1,VG,VG,GIA,2995
1.08,Ideal,H,VS1,VG,VG,GIA,6089
1.52,Ideal,F,SI1,ID,ID,AGSL,11971
1.2,Ideal,G,VS2,ID,ID,AGSL,8771
1.51,Ideal,I,VS2,VG,EX,GIA,9178
1.03,Ideal,G,VS1,EX,EX,GIA,7391
1.04,Ideal,I,SI1,VG,EX,GIA,4308
1.23,Signature-Ideal,I,VS1,ID,ID,AGSL,7881
1.01,Very Good,G,VS2,VG,VG,GIA,6050
1.0,Good,F,VS1,VG,G,GIA,6389
2.2,Ideal,G,VS1,EX,EX,GIA,27227
0.83,Ideal,E,VS2,EX,EX,GIA,4271
1.07,Ideal,E,VVS2,VG,VG,GIA,10195
2.02,Very Good,E,VS2,VG,VG,GIA,26874
1.21,Signature-Ideal,E,SI1,ID,ID,AGSL,8863
1.15,Ideal,I,VS1,ID,ID,AGSL,5940
1.71,Very Good,G,VS1,EX,EX,GIA,17206
2.09,Ideal,H,VS2,VG,VG,GIA,20361
0.9,Very Good,F,SI1,G,VG,GIA,4379
2.18,Ideal,F,VS2,EX,VG,GIA,28348
1.51,Ideal,I,VVS2,VG,EX,GIA,11961
1.02,Ideal,G,VVS2,EX,EX,GIA,8198
1.38,Very Good,F,VS1,VG,EX,GIA,11286
1.1,Very Good,F,VS2,EX,G,GIA,6746
0.76,Ideal,F,SI1,EX,VG,GIA,2709
2.4,Very Good,D,VVS1,G,G,GIA,63815
2.07,Very Good,H,SI1,VG,VG,GIA,17427
2.05,Ideal,D,SI1,G,G,GIA,24019
1.05,Good,E,SI1,G,G,GIA,5119
1.01,Ideal,E,SI1,EX,VG,GIA,6132
2.36,Very Good,H,SI1,VG,EX,GIA,23109
1.07,Ideal,D,SI1,VG,EX,GIA,6587
0.8,Signature-Ideal,G,VS1,ID,ID,AGSL,4388
1.26,Very Good,F,VS2,EX,VG,GIA,9767
1.17,Ideal,H,SI1,ID,ID,AGSL,6368
0.79,Ideal,H,VS2,G,EX,GIA,2844
1.02,Ideal,G,VS1,EX,G,GIA,6968
0.9,Good,H,SI1,G,G,GIA,3734
1.14,Ideal,G,IF,EX,EX,GIA,10735
1.61,Very Good,I,IF,VG,VG,GIA,11513
0.8,Very Good,F,SI1,EX,EX,GIA,3093
0.9,Good,H,SI1,VG,G,GIA,3282
2.01,Ideal,G,SI1,VG,EX,GIA,18736
0.75,Ideal,F,VS2,EX,EX,GIA,3434
1.52,Very Good,H,VVS2,VG,VG,GIA,11772
0.82,Ideal,E,SI1,EX,EX,GIA,3622
2.05,Ideal,G,SI1,EX,EX,GIA,19516
0.91,Very Good,I,VS2,VG,VG,GIA,3911
1.02,Very Good,E,VVS2,EX,VG,GIA,8657
2.04,Ideal,I,VS1,EX,VG,GIA,18282
1.61,Ideal,G,VS1,EX,VG,GIA,16205
1.04,Ideal,G,VS1,ID,ID,AGSL,6831
1.02,Ideal,H,VVS2,EX,VG,GIA,6266
1.57,Ideal,I,SI1,EX,EX,GIA,10633
1.0,Ideal,E,VVS2,EX,VG,GIA,9685
2.0,Ideal,E,VVS2,VG,VG,GIA,31924
1.23,Very Good,G,VVS2,EX,EX,GIA,10004
1.3,Very Good,G,SI1,VG,EX,GIA,7985
1.05,Very Good,D,VS2,VG,EX,GIA,7913
0.76,Good,F,VS1,G,G,AGSL,3057
0.81,Signature-Ideal,H,SI1,EX,EX,GIA,3514
1.35,Very Good,F,VVS2,EX,VG,GIA,13053
1.5,Good,F,VVS1,EX,G,GIA,15665
2.01,Very Good,G,VS1,G,EX,GIA,26043
1.01,Very Good,E,VS2,VG,EX,GIA,6714
2.59,Very Good,E,SI1,EX,EX,GIA,25158
1.53,Ideal,H,IF,EX,VG,GIA,13386
1.58,Ideal,F,VS1,EX,EX,GIA,18965
1.5,Good,H,VS2,EX,G,GIA,9620
2.02,Very Good,E,VS1,VG,G,GIA,33787
1.0,Very Good,D,SI1,VG,VG,GIA,5671
1.0,Very Good,I,SI1,G,VG,GIA,4149
1.5,Ideal,D,IF,VG,EX,GIA,33691
1.11,Very Good,G,VS2,G,VG,GIA,6771
1.23,Ideal,G,VVS2,EX,EX,GIA,10317
1.0,Ideal,E,SI1,G,G,AGSL,5622
2.02,Very Good,H,VS2,EX,EX,GIA,21770
1.11,Signature-Ideal,E,VS2,ID,ID,AGSL,9625
0.92,Very Good,H,VS1,G,G,GIA,4270
1.24,Ideal,H,SI1,EX,EX,GIA,6717
1.53,Very Good,H,VS2,EX,VG,GIA,11722
1.27,Ideal,F,VVS2,VG,EX,GIA,11977
2.01,Very Good,I,VS2,EX,EX,GIA,16304
1.18,Very Good,H,SI1,G,EX,GIA,5674
0.9,Very Good,E,SI1,VG,G,GIA,4144
1.01,Good,H,SI1,VG,VG,GIA,4846
0.8,Ideal,E,SI1,EX,EX,GIA,4053
1.26,Ideal,F,VS2,EX,EX,GIA,10007
1.55,Ideal,I,VS1,EX,VG,GIA,10384
2.0,Good,H,VS2,VG,VG,GIA,19002
1.0,Ideal,H,VS2,VG,EX,GIA,5820
1.0,Very Good,G,VS1,VG,VG,GIA,6642
1.4,Very Good,G,VS1,EX,VG,GIA,11584
1.09,Ideal,G,VVS1,ID,ID,AGSL,8778
0.96,Good,D,SI1,EX,VG,GIA,4693
2.14,Very Good,G,VS2,EX,EX,GIA,28705
1.1,Signature-Ideal,H,SI1,EX,EX,GIA,6844
1.01,Very Good,I,SI1,EX,EX,GIA,4759
1.07,Very Good,F,SI1,VG,VG,GIA,6061
0.9,Very Good,E,SI1,EX,EX,GIA,4315
1.24,Ideal,I,VS2,VG,EX,GIA,6180
1.74,Good,G,VS1,VG,VG,GIA,16223
1.32,Very Good,F,VS1,G,VG,GIA,10921
1.54,Ideal,E,VVS2,EX,EX,GIA,20071
1.22,Very Good,E,VS1,VG,VG,GIA,9706
1.51,Ideal,D,SI1,EX,VG,GIA,13162
1.0,Good,H,SI1,VG,VG,GIA,4276
1.15,Ideal,F,VS1,EX,EX,GIA,10316
2.01,Very Good,F,SI1,VG,EX,GIA,22301
1.23,Ideal,G,VVS2,EX,EX,GIA,10537
1.05,Ideal,F,VVS2,VG,VG,GIA,10011
1.18,Good,F,SI1,VG,G,GIA,5650
1.52,Very Good,F,VS2,G,VG,GIA,13435
1.07,Ideal,H,SI1,EX,VG,GIA,5417
2.01,Ideal,H,VS1,VG,VG,GIA,19593
2.21,Very Good,I,SI1,EX,EX,AGSL,16941
1.53,Signature-Ideal,D,VS2,EX,EX,GIA,19713
1.21,Very Good,G,VVS2,EX,VG,GIA,10355
2.62,Ideal,H,VS2,VG,EX,GIA,30599
1.02,Ideal,G,IF,EX,VG,GIA,8955
2.0,Very Good,I,VS1,VG,G,GIA,17144
1.01,Very Good,D,VS2,VG,EX,GIA,7519
1.02,Good,F,VS2,G,G,GIA,5447
0.79,Ideal,H,VVS2,EX,EX,GIA,3417
1.0,Fair,G,VS2,VG,G,GIA,5653
2.0,Very Good,D,VS1,EX,EX,GIA,36028
1.1,Very Good,G,VS2,VG,VG,GIA,6643
2.01,Good,G,SI1,G,VG,GIA,16935
1.01,Ideal,G,VS2,ID,ID,AGSL,6295
1.11,Very Good,H,SI1,VG,G,GIA,5192
2.02,Ideal,G,VVS1,EX,EX,GIA,34540
0.87,Ideal,E,SI1,EX,EX,GIA,5112
2.2,Ideal,G,VS1,EX,EX,GIA,31244
1.0,Good,D,SI1,VG,G,GIA,5648
1.21,Signature-Ideal,H,SI1,ID,ID,AGSL,7810
1.01,Very Good,E,VS1,G,VG,GIA,7027
0.9,Good,F,SI1,EX,VG,GIA,3954
1.11,Very Good,H,VS2,EX,VG,GIA,5932
1.09,Ideal,D,SI1,EX,VG,GIA,6337
0.77,Very Good,H,VVS2,EX,ID,AGSL,3208
1.68,Ideal,H,VS1,VG,EX,GIA,13082
0.9,Very Good,F,VS2,VG,G,GIA,4397
1.51,Good,G,SI1,VG,VG,GIA,9258
0.81,Very Good,G,VVS2,VG,EX,GIA,3981
2.01,Very Good,H,VS2,VG,G,GIA,18982
1.56,Ideal,D,SI1,EX,EX,GIA,10934
2.03,Ideal,D,VVS1,EX,VG,GIA,51928
1.0,Very Good,F,SI1,G,VG,GIA,5030
0.92,Good,G,VVS2,EX,G,GIA,5458
1.08,Very Good,G,VS1,EX,EX,GIA,6566
1.02,Good,G,VS1,EX,VG,GIA,6036
2.26,Very Good,E,SI1,VG,G,GIA,20339
1.18,Signature-Ideal,E,VVS2,ID,ID,AGSL,13075
1.01,Very Good,F,SI1,EX,VG,GIA,5174
1.53,Ideal,E,SI1,VG,VG,GIA,10836
1.52,Very Good,G,SI1,EX,VG,GIA,10150
0.8,Ideal,F,VS1,VG,EX,GIA,4070
1.81,Ideal,I,VS1,EX,EX,GIA,12711
2.0,Ideal,G,SI1,VG,VG,GIA,19491
1.51,Ideal,G,VS2,EX,EX,GIA,13752
1.53,Very Good,I,IF,VG,G,GIA,10984
2.06,Signature-Ideal,H,VVS1,ID,ID,AGSL,29856
1.2,Very Good,H,SI1,VG,VG,GIA,6199
2.01,Good,G,VS2,VG,VG,GIA,22964
1.01,Very Good,G,IF,EX,EX,GIA,9063
1.01,Ideal,I,SI1,EX,EX,GIA,4638
1.52,Ideal,F,SI1,ID,ID,AGSL,12153
0.9,Good,H,VS2,G,G,GIA,4685
1.09,Ideal,H,VVS1,ID,ID,AGSL,7055
1.07,Very Good,H,VS1,ID,EX,AGSL,6262
1.21,Ideal,F,VS2,EX,EX,GIA,9335
1.53,Ideal,G,SI1,EX,EX,GIA,11200
1.01,Very Good,I,SI1,EX,G,GIA,4189
1.0,Ideal,I,VS1,EX,EX,GIA,5385
0.79,Ideal,I,VVS1,EX,EX,GIA,3191
1.0,Good,G,IF,VG,G,GIA,7758
1.34,Ideal,H,VS2,EX,EX,GIA,8771
1.55,Ideal,G,VVS2,EX,EX,GIA,16486
0.83,Ideal,D,SI1,EX,EX,GIA,3933
1.21,Very Good,H,SI1,VG,VG,GIA,5768
2.02,Ideal,H,VS1,VG,VG,GIA,19672
2.01,Very Good,G,VS1,EX,VG,GIA,26089
2.01,Very Good,F,VS1,EX,EX,GIA,31905
1.29,Ideal,G,VS1,ID,ID,AGSL,10600
1.31,Very Good,F,VVS1,VG,VG,GIA,14687
0.91,Very Good,G,VS2,VG,VG,GIA,4532
1.14,Very Good,F,SI1,VG,VG,GIA,6194
1.3,Ideal,G,SI1,EX,EX,GIA,8416
1.03,Ideal,G,SI1,EX,EX,GIA,5195
1.0,Good,G,VS2,EX,EX,GIA,5488
1.14,Ideal,G,VS1,EX,EX,GIA,8346
1.21,Ideal,E,SI1,EX,EX,GIA,7466
0.9,Very Good,D,SI1,VG,G,GIA,4497
1.21,Very Good,G,SI1,VG,VG,GIA,6439
1.15,Ideal,G,VVS2,EX,EX,GIA,9157
0.77,Signature-Ideal,H,VS2,ID,ID,AGSL,3332
0.76,Ideal,E,VS2,EX,EX,GIA,4039
2.53,Good,E,VS2,EX,VG,GIA,37848
1.13,Signature-Ideal,E,SI1,EX,EX,GIA,7877
1.03,Signature-Ideal,G,VS1,ID,ID,AGSL,7880
1.06,Very Good,F,SI1,G,VG,GIA,4721
0.86,Ideal,E,SI1,EX,EX,GIA,3997
1.21,Very Good,I,SI1,G,G,GIA,5346
1.51,Very Good,F,SI1,VG,G,GIA,9150
1.02,Fair,E,SI1,EX,EX,AGSL,5209
1.16,Ideal,H,VS2,EX,EX,GIA,6673
1.04,Signature-Ideal,D,VS1,EX,EX,GIA,10709
1.7,Very Good,G,VS1,VG,G,GIA,16076
0.86,Fair,G,VS1,VG,VG,AGSL,3756
1.54,Ideal,F,VS2,EX,EX,GIA,17029
1.07,Ideal,D,VS2,EX,EX,GIA,8202
0.92,Ideal,G,VS2,VG,VG,GIA,5070
1.01,Very Good,I,SI1,G,G,GIA,4065
1.32,Ideal,I,VS2,EX,VG,GIA,7059
1.05,Ideal,E,VVS2,EX,EX,GIA,10162
1.21,Very Good,H,SI1,EX,EX,GIA,6892
1.11,Very Good,F,VS1,EX,EX,GIA,8528
1.27,Very Good,I,SI1,VG,G,GIA,6559
2.01,Good,G,SI1,EX,EX,GIA,21398
1.04,Ideal,H,SI1,VG,VG,GIA,5759
1.19,Ideal,G,IF,EX,EX,GIA,10733
1.05,Very Good,G,SI1,ID,ID,AGSL,5480
0.9,Good,F,SI1,VG,G,GIA,3896
1.0,Very Good,E,SI1,EX,G,GIA,5113
2.49,Very Good,F,VS1,EX,VG,GIA,43319
2.16,Ideal,G,VS2,EX,EX,GIA,28969
1.02,Very Good,F,SI1,EX,EX,GIA,5701
2.44,Ideal,I,VS2,EX,EX,GIA,23455
0.78,Ideal,H,VS1,EX,VG,GIA,3052
1.0,Very Good,H,SI1,VG,VG,GIA,4830
1.07,Ideal,H,VS2,VG,EX,GIA,5889
1.11,Ideal,G,VS1,ID,ID,AGSL,7905
